C_1_Force[kN];C_1_Deplacement[mm]
5.636625767;1.343176246
5.653162956;1.347293615
5.673980713;1.351638913
5.689826488;1.355967879
5.70179081;1.360117912
5.721119881;1.364251614
5.735396862;1.368466616
5.74499464;1.372453928
5.75148201;1.376457334
5.762143612;1.380656242
5.773070812;1.38459456
5.780222893;1.388728261
5.793755531;1.39284575
5.806756496;1.39696312
5.822363377;1.401226997
5.834061623;1.405425906
5.85123682;1.409738541
5.866312027;1.413872242
5.884071827;1.41813612
5.901433468;1.422432661
5.913849354;1.426550031
5.929961205;1.430700064
5.945036411;1.434882522
5.953411102;1.438951135
5.96016407;1.44287324
5.975372314;1.447137117
5.982284546;1.451091886
5.994700909;1.455339432
6.002092361;1.459375501
6.01147747;1.46357429
6.03194952;1.467838168
6.043674469;1.472053289
6.062737465;1.476366043
6.075339794;1.480515957
6.093976974;1.484910131
6.108094692;1.489206553
6.126333714;1.493421555
6.141142845;1.497620463
6.156164169;1.501835465
6.162997246;1.505887866
6.173578739;1.50995636
6.187803268;1.514236569
6.191153049;1.51820755
6.199953556;1.522178531
6.211731434;1.526360989
6.222552299;1.530462146
6.234755993;1.534644723
6.251293182;1.538827181
6.264586449;1.543139935
6.275965691;1.547257423
6.29359293;1.551537514
6.313426971;1.555801392
6.325896263;1.559967637
6.348495483;1.564264178
6.355487823;1.568414092
6.366867065;1.572482705
6.377661705;1.576388597
6.389811993;1.580668688
6.39050293;1.584476948
6.403398037;1.588659525
6.413447857;1.592858315
6.423976421;1.59702456
6.439955235;1.601190805
6.455508709;1.605438352
6.473268986;1.609767437
6.481750011;1.613901138
6.509347439;1.61819756
6.526070595;1.622510314
6.537370205;1.626676559
6.556300163;1.630810261
6.568424225;1.63500905
6.576453209;1.638947368
6.583365917;1.642918348
6.60043478;1.647182226
6.600488186;1.65110445
6.615350246;1.655286908
6.626596451;1.659420609
6.640475273;1.663521767
6.661133289;1.667785645
6.673762321;1.67203331
6.689342022;1.676378608
6.705241203;1.680463433
6.727282047;1.684759855
6.745307922;1.689088941
6.754932404;1.693238854
6.77596283;1.697421432
6.787129402;1.701636434
6.799891472;1.705688834
6.805607319;1.709610939
6.821214199;1.713793397
6.828472614;1.717699289
6.842617035;1.721914411
6.853809834;1.726048112
6.864524364;1.730279446
6.882790089;1.734461904
6.901799679;1.738677025
6.915199757;1.743005991
6.93168354;1.747156024
6.953883648;1.751419902
6.971271992;1.755748868
6.984485626;1.759882569
7.00205946;1.764016271
7.017772675;1.768117428
7.02481842;1.772055864
7.033804417;1.776059389
7.052894115;1.780437231
7.060631275;1.784473181
7.075546265;1.788623214
7.086260796;1.792691827
7.100033283;1.796841741
7.116384029;1.801138282
7.134223938;1.805353284
7.154191017;1.80968225
7.171552658;1.813783407
7.194257736;1.818112493
7.210688591;1.822392583
7.228076458;1.82657516
7.248654842;1.830887914
7.265431404;1.835102916
7.279389858;1.839106441
7.284946442;1.843044877
7.305498123;1.847357512
7.307226181;1.851165771
7.32057333;1.85528326
7.340087891;1.859433174
7.351945877;1.863648295
7.366967678;1.867830753
7.385153294;1.872029543
7.408948421;1.876342297
7.425140381;1.88049233
7.448350906;1.884821296
7.467360497;1.889101386
7.482328892;1.893218875
7.502800941;1.897336245
7.517158031;1.901518822
7.524655819;1.905408382
7.538613796;1.909460783
7.558607578;1.913740873
7.5667696;1.917662978
7.58200407;1.921829224
7.596866131;1.926011801
7.61377573;1.930161834
7.637012959;1.934360623
7.654533863;1.93860817
7.672958374;1.942953467
7.691277027;1.947070956
7.714540958;1.951318502
7.737565041;1.955598712
7.756468773;1.959699869
7.773777008;1.963849783
7.78930378;1.968016028
7.801506996;1.971954465
7.805548668;1.975795269
7.831975937;1.980140567
7.83718729;1.983981252
7.858031273;1.988228917
7.876004219;1.992492795
7.895572186;1.99674046
7.91777277;2.000955582
7.941700935;2.00521946
7.960019588;2.009613514
7.977248192;2.013698339
8.004792213;2.01797843
8.030608177;2.022274971
8.042519569;2.026506424
8.064666748;2.030574799
8.081628799;2.034724951
8.097793579;2.038744688
8.11047554;2.042845726
8.127385139;2.047044516
8.137940407;2.051080704
8.159396172;2.055279493
8.176465034;2.059478283
8.195049286;2.063579321
8.21528244;2.06785965
8.23593998;2.072090864
8.256093025;2.076371193
8.276485443;2.080488443
8.302248955;2.084801197
8.321630478;2.089065075
8.34305954;2.093166351
8.370285034;2.097430229
8.386423111;2.101629019
8.403014183;2.10559988
8.413781166;2.109473228
8.436433792;2.113737106
8.443240166;2.117643118
8.465228081;2.121809244
8.481578827;2.125942945
8.503752708;2.130190611
8.522389412;2.1343894
8.546212196;2.13858819
8.57258606;2.142900944
8.594121933;2.147050858
8.621533394;2.151396275
8.642537117;2.155676365
8.663168907;2.159793854
8.683188438;2.163927555
8.703022957;2.168142557
8.718948364;2.172015905
8.728599548;2.176002979
8.757871628;2.180283308
8.768798828;2.184270382
8.785123825;2.188371658
8.806313515;2.192570448
8.826173782;2.196720362
8.85159111;2.200951815
8.875998497;2.205150604
8.898756981;2.209495783
8.920638084;2.213597059
8.947863579;2.217860937
8.974476814;2.222124815
8.990056992;2.226242304
9.016005516;2.230424643
9.035920143;2.234591007
9.052084923;2.238529444
9.063596725;2.242451429
9.09422493;2.24689436
9.101510048;2.25070262
9.126235962;2.255015373
9.143651009;2.259181499
9.170131683;2.263461828
9.193581581;2.267644405
9.221179008;2.271891832
9.243591309;2.276204586
9.268742561;2.280370951
9.295968056;2.284634829
9.32069397;2.288931131
9.344622612;2.293113708
9.367061615;2.297198534
